"data","series","period","type","description","value_type","time","date","value"
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1984,1984-01-01,3142.63
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1984.25,1984-04-01,3190.75
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1984.5,1984-07-01,3178.69
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1984.75,1984-10-01,3170.94
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1985,1985-01-01,3124.38
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1985.25,1985-04-01,3170
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1985.5,1985-07-01,3200.94
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1985.75,1985-10-01,3176.75
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1986,1986-01-01,3170.44
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1986.25,1986-04-01,3268.67
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1986.5,1986-07-01,3198.25
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1986.75,1986-10-01,3383.35
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1987,1987-01-01,3389.78
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1987.25,1987-04-01,3368.6
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1987.5,1987-07-01,3383.7
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1987.75,1987-10-01,4950.95
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1988,1988-01-01,5086.1
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1988.25,1988-04-01,5203.95
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1988.5,1988-07-01,5302.75
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1988.75,1988-10-01,5268.75
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1989,1989-01-01,5406.85
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1989.25,1989-04-01,5472.5
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1989.5,1989-07-01,5656.4
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1989.75,1989-10-01,5770.3
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1990,1990-01-01,5677.2
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1990.25,1990-04-01,5725.85
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1990.5,1990-07-01,5742
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1990.75,1990-10-01,5706.6
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1991,1991-01-01,5591.95
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1991.25,1991-04-01,5605.15
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1991.5,1991-07-01,5630
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1991.75,1991-10-01,5589.2
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1992,1992-01-01,5551.25
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1992.25,1992-04-01,5592.15
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1992.5,1992-07-01,5481.6
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","x",1992.75,1992-10-01,5511.55
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1993,1993-01-01,5531.5
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1993.25,1993-04-01,5670.6
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1993.5,1993-07-01,5730
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1993.75,1993-10-01,5798.45
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1994,1994-01-01,5809.05
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1994.25,1994-04-01,5707.05
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1994.5,1994-07-01,5661.75
"M3","N0646","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= AA )","xx",1994.75,1994-10-01,6176.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1984,1984-01-01,1522
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1984.25,1984-04-01,1537.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1984.5,1984-07-01,1602.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1984.75,1984-10-01,1697
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1985,1985-01-01,1718.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1985.25,1985-04-01,1746.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1985.5,1985-07-01,1787.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1985.75,1985-10-01,1849.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1986,1986-01-01,2032.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1986.25,1986-04-01,2084.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1986.5,1986-07-01,2163
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1986.75,1986-10-01,2213.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1987,1987-01-01,2298.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1987.25,1987-04-01,2314.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1987.5,1987-07-01,2440.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1987.75,1987-10-01,2513.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1988,1988-01-01,2492.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1988.25,1988-04-01,2569.4
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1988.5,1988-07-01,2573.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1988.75,1988-10-01,2521.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1989,1989-01-01,2598.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1989.25,1989-04-01,2579.4
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1989.5,1989-07-01,2580.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1989.75,1989-10-01,2655.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1990,1990-01-01,2758.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1990.25,1990-04-01,2778.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1990.5,1990-07-01,2801.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1990.75,1990-10-01,2918.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1991,1991-01-01,3014.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1991.25,1991-04-01,3039.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1991.5,1991-07-01,3223.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1991.75,1991-10-01,3156.8
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1992,1992-01-01,3342.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1992.25,1992-04-01,3404.4
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1992.5,1992-07-01,3638.4
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","x",1992.75,1992-10-01,3629.4
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","xx",1993,1993-01-01,3799.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","xx",1993.25,1993-04-01,3972.6
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","xx",1993.5,1993-07-01,4078.2
"M3","N0647","QUARTERLY","MICRO","ASSETS-TOTAL QUANTITY (CODE= BA )","xx",1993.75,1993-10-01,4090
