"data","series","period","type","description","value_type","time","date","value"
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1975,1975-01-01,940.66
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1976,1976-01-01,1084.86
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1977,1977-01-01,1244.98
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1978,1978-01-01,1445.02
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1979,1979-01-01,1683.17
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1980,1980-01-01,2038.15
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1981,1981-01-01,2342.52
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1982,1982-01-01,2602.45
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1983,1983-01-01,2927.87
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1984,1984-01-01,3103.96
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1985,1985-01-01,3360.27
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1986,1986-01-01,3807.63
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1987,1987-01-01,4387.88
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","x",1988,1988-01-01,4936.99
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1989,1989-01-01,5379.75
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1990,1990-01-01,6158.68
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1991,1991-01-01,6876.58
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1992,1992-01-01,7851.91
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1993,1993-01-01,8407.84
"M3","N0001","YEARLY","MICRO","SALES ( CODE= ABT)","xx",1994,1994-01-01,9156.01
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1975,1975-01-01,1991.05
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1976,1976-01-01,2306.4
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1977,1977-01-01,2604
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1978,1978-01-01,2992.3
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1979,1979-01-01,3722.08
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1980,1980-01-01,5226.62
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1981,1981-01-01,5989.46
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1982,1982-01-01,5614.62
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1983,1983-01-01,5527
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1984,1984-01-01,5389.8
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1985,1985-01-01,5384.4
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1986,1986-01-01,3656.2
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1987,1987-01-01,4034.8
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","x",1988,1988-01-01,4230
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1989,1989-01-01,4793.2
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1990,1990-01-01,5602
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1991,1991-01-01,5065
